ad_id,image_path,ctr_score,halflife_days,censored,vertical,source,scraped_at,discontinuation_type
apify_29f51f0a0488,data\raw\gaming\apify_29f51f0a0488.jpg,0.0444,4.0,False,gaming,apify,2026-05-14T00:24:46.947384,cut-out
apify_f2d64677b5dc,data\raw\gaming\apify_f2d64677b5dc.jpg,0.0111,1.0,False,gaming,apify,2026-05-14T00:24:57.931020,cut-out
apify_a109c3b042dd,data\raw\gaming\apify_a109c3b042dd.jpg,0.2,18.0,False,gaming,apify,2026-05-14T00:25:00.895695,wear-out
apify_cfd5f3522aac,data\raw\gaming\apify_cfd5f3522aac.jpg,0.1667,15.0,False,gaming,apify,2026-05-14T00:25:07.660022,wear-out
apify_ba1a983eb4f7,data\raw\other\apify_ba1a983eb4f7.jpg,0.2111,19.0,False,other,apify,2026-05-14T00:25:10.875275,wear-out
apify_caf49e03bbe0,data\raw\gaming\apify_caf49e03bbe0.jpg,0.1,9.0,False,gaming,apify,2026-05-14T00:25:27.231133,wear-out
apify_4f6b57e48d61,data\raw\gaming\apify_4f6b57e48d61.jpg,0.0667,6.0,False,gaming,apify,2026-05-14T00:25:31.692524,cut-out
apify_fca2c4ae35e8,data\raw\gaming\apify_fca2c4ae35e8.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:25:36.638915,wear-out
apify_c2737943e586,data\raw\gaming\apify_c2737943e586.jpg,0.0222,2.0,False,gaming,apify,2026-05-14T00:25:39.833210,cut-out
apify_f00b0f1e7bd2,data\raw\gaming\apify_f00b0f1e7bd2.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:25:43.697199,wear-out
apify_c26500fbca4e,data\raw\gaming\apify_c26500fbca4e.jpg,0.0222,2.0,False,gaming,apify,2026-05-14T00:25:51.040097,cut-out
apify_bc32893f85ae,data\raw\gaming\apify_bc32893f85ae.jpg,0.0444,4.0,False,gaming,apify,2026-05-14T00:25:54.808731,cut-out
apify_baec531f4053,data\raw\gaming\apify_baec531f4053.jpg,0.0444,4.0,False,gaming,apify,2026-05-14T00:25:58.132847,cut-out
apify_9614c902e3e5,data\raw\gaming\apify_9614c902e3e5.jpg,0.0111,1.0,False,gaming,apify,2026-05-14T00:26:00.899921,cut-out
apify_0cd7a72bd2ca,data\raw\gaming\apify_0cd7a72bd2ca.jpg,0.0667,6.0,False,gaming,apify,2026-05-14T00:26:03.170429,cut-out
apify_dc8af14ae173,data\raw\gaming\apify_dc8af14ae173.jpg,0.1,9.0,False,gaming,apify,2026-05-14T00:26:05.366962,wear-out
apify_60ed9370effd,data\raw\gaming\apify_60ed9370effd.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:26:07.673662,wear-out
apify_d6191f2cac7b,data\raw\gaming\apify_d6191f2cac7b.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:09.675331,wear-out
apify_a032b90efe18,data\raw\other\apify_a032b90efe18.jpg,0.0111,1.0,False,other,apify,2026-05-14T00:26:12.003640,cut-out
apify_0e0688dd80a7,data\raw\gaming\apify_0e0688dd80a7.jpg,0.0556,5.0,False,gaming,apify,2026-05-14T00:26:14.199659,cut-out
apify_a988a9c77a41,data\raw\gaming\apify_a988a9c77a41.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:15.408600,wear-out
apify_334c333d1e48,data\raw\other\apify_334c333d1e48.jpg,0.0111,1.0,False,other,apify,2026-05-14T00:26:17.702003,cut-out
apify_03e36872c010,data\raw\gaming\apify_03e36872c010.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:19.568297,wear-out
apify_526679daa11a,data\raw\gaming\apify_526679daa11a.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:21.802621,wear-out
apify_d4c2f95d8dcc,data\raw\gaming\apify_d4c2f95d8dcc.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:23.756838,wear-out
apify_233a867d806a,data\raw\gaming\apify_233a867d806a.jpg,0.2778,25.0,False,gaming,apify,2026-05-14T00:26:26.148019,wear-out
apify_079762887ed8,data\raw\gaming\apify_079762887ed8.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:27.529950,wear-out
apify_6d390690c626,data\raw\gaming\apify_6d390690c626.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:28.809531,wear-out
apify_4ab34b28a774,data\raw\gaming\apify_4ab34b28a774.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:26:30.649897,wear-out
apify_f83e940ad436,data\raw\gaming\apify_f83e940ad436.jpg,0.0778,7.0,False,gaming,apify,2026-05-14T00:26:32.458815,wear-out
apify_d573b29b4294,data\raw\gaming\apify_d573b29b4294.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:34.291374,wear-out
apify_03eff39e77cf,data\raw\gaming\apify_03eff39e77cf.jpg,0.0778,7.0,False,gaming,apify,2026-05-14T00:26:36.421063,wear-out
apify_b05af0f577df,data\raw\gaming\apify_b05af0f577df.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:38.026738,wear-out
apify_31702d39efe6,data\raw\gaming\apify_31702d39efe6.jpg,0.0778,7.0,False,gaming,apify,2026-05-14T00:26:40.448861,wear-out
apify_042ffdd9706e,data\raw\gaming\apify_042ffdd9706e.jpg,0.2667,24.0,False,gaming,apify,2026-05-14T00:26:42.490038,wear-out
apify_770255a8ef14,data\raw\gaming\apify_770255a8ef14.jpg,0.1556,14.0,False,gaming,apify,2026-05-14T00:26:44.557766,wear-out
apify_60f477283dba,data\raw\gaming\apify_60f477283dba.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:26:46.048163,wear-out
apify_3c452914b3e7,data\raw\gaming\apify_3c452914b3e7.jpg,0.1667,15.0,False,gaming,apify,2026-05-14T00:26:48.446836,wear-out
apify_0649a3300b65,data\raw\gaming\apify_0649a3300b65.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:26:50.120941,wear-out
apify_9e31d3ccc0a1,data\raw\gaming\apify_9e31d3ccc0a1.jpg,0.1667,15.0,False,gaming,apify,2026-05-14T00:26:51.999180,wear-out
apify_05650c71e57b,data\raw\gaming\apify_05650c71e57b.jpg,0.1667,15.0,False,gaming,apify,2026-05-14T00:26:53.690517,wear-out
apify_3e47e0516c5f,data\raw\gaming\apify_3e47e0516c5f.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:26:55.793385,wear-out
apify_a570209705b0,data\raw\gaming\apify_a570209705b0.jpg,0.1222,11.0,False,gaming,apify,2026-05-14T00:26:57.964699,wear-out
apify_83373b684e30,data\raw\gaming\apify_83373b684e30.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:26:59.543902,wear-out
apify_5976868f1f44,data\raw\gaming\apify_5976868f1f44.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:27:01.039623,wear-out
apify_6cc5dd7100eb,data\raw\gaming\apify_6cc5dd7100eb.jpg,0.1556,14.0,False,gaming,apify,2026-05-14T00:27:03.313254,wear-out
apify_fe624c083711,data\raw\gaming\apify_fe624c083711.jpg,0.1,9.0,False,gaming,apify,2026-05-14T00:27:05.015874,wear-out
apify_e173c8522fba,data\raw\gaming\apify_e173c8522fba.jpg,0.0111,1.0,False,gaming,apify,2026-05-14T00:27:06.750725,cut-out
apify_f26fea8e8add,data\raw\gaming\apify_f26fea8e8add.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:27:08.232829,wear-out
apify_9c6f0a4128d8,data\raw\gaming\apify_9c6f0a4128d8.jpg,0.1556,14.0,False,gaming,apify,2026-05-14T00:27:09.974251,wear-out
apify_9df26071f551,data\raw\gaming\apify_9df26071f551.jpg,0.0778,7.0,False,gaming,apify,2026-05-14T00:27:12.610797,wear-out
apify_910451fa4eab,data\raw\gaming\apify_910451fa4eab.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:27:14.094567,wear-out
apify_e66f14b232c0,data\raw\gaming\apify_e66f14b232c0.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:27:15.991006,wear-out
apify_12033062fc3d,data\raw\gaming\apify_12033062fc3d.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:27:17.776588,wear-out
apify_2b4bc9a70709,data\raw\gaming\apify_2b4bc9a70709.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:27:19.763187,wear-out
apify_e6b876efa0fe,data\raw\gaming\apify_e6b876efa0fe.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:27:21.647838,wear-out
apify_6aaca6dacfa4,data\raw\gaming\apify_6aaca6dacfa4.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:27:23.370420,wear-out
apify_514d96843b81,data\raw\gaming\apify_514d96843b81.jpg,0.0667,6.0,False,gaming,apify,2026-05-14T00:27:25.375966,cut-out
apify_a40b9759fd71,data\raw\gaming\apify_a40b9759fd71.jpg,0.0667,6.0,False,gaming,apify,2026-05-14T00:27:27.492102,cut-out
apify_ef2254d54c81,data\raw\gaming\apify_ef2254d54c81.jpg,0.1667,15.0,False,gaming,apify,2026-05-14T00:27:30.100672,wear-out
apify_cc5d6f331bee,data\raw\gaming\apify_cc5d6f331bee.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:27:32.462624,wear-out
apify_63d94cb79628,data\raw\gaming\apify_63d94cb79628.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:27:34.485326,wear-out
apify_9e1100709573,data\raw\gaming\apify_9e1100709573.jpg,0.0778,7.0,False,gaming,apify,2026-05-14T00:27:36.856689,wear-out
apify_df26621d6e71,data\raw\gaming\apify_df26621d6e71.jpg,0.0889,8.0,False,gaming,apify,2026-05-14T00:27:38.363897,wear-out
apify_cc08113e9b43,data\raw\gaming\apify_cc08113e9b43.jpg,0.0556,5.0,False,gaming,apify,2026-05-14T00:27:40.318683,cut-out
apify_f291bd79a35c,data\raw\gaming\apify_f291bd79a35c.jpg,0.0556,5.0,False,gaming,apify,2026-05-14T00:27:42.497021,cut-out
apify_9120f8333792,data\raw\gaming\apify_9120f8333792.jpg,0.1778,16.0,False,gaming,apify,2026-05-14T00:27:44.746673,wear-out
apify_84fff854c056,data\raw\gaming\apify_84fff854c056.jpg,0.1667,15.0,False,gaming,apify,2026-05-14T00:27:46.969223,wear-out
apify_d6a7b3b3330f,data\raw\gaming\apify_d6a7b3b3330f.jpg,0.1556,14.0,False,gaming,apify,2026-05-14T00:27:48.142681,wear-out
apify_cd93213eebd5,data\raw\gaming\apify_cd93213eebd5.jpg,0.1667,15.0,False,gaming,apify,2026-05-14T00:27:49.492949,wear-out
apify_8a05a8a43344,data\raw\gaming\apify_8a05a8a43344.jpg,0.0778,7.0,False,gaming,apify,2026-05-14T00:27:51.330657,wear-out
apify_a3877d7c5166,data\raw\gaming\apify_a3877d7c5166.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:27:53.272186,wear-out
apify_80bae96f6f55,data\raw\gaming\apify_80bae96f6f55.jpg,0.0556,5.0,False,gaming,apify,2026-05-14T00:27:54.756093,cut-out
apify_37573ba2c9b6,data\raw\gaming\apify_37573ba2c9b6.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:27:56.417722,wear-out
apify_d702d874844f,data\raw\gaming\apify_d702d874844f.jpg,0.0889,8.0,False,gaming,apify,2026-05-14T00:27:57.951665,wear-out
apify_e8736966772a,data\raw\gaming\apify_e8736966772a.jpg,0.1444,13.0,False,gaming,apify,2026-05-14T00:27:59.892048,wear-out
apify_7dc6c0f4b9b1,data\raw\gaming\apify_7dc6c0f4b9b1.jpg,0.0111,1.0,False,gaming,apify,2026-05-14T00:28:01.783700,cut-out
apify_e2492c831039,data\raw\gaming\apify_e2492c831039.jpg,0.0556,5.0,False,gaming,apify,2026-05-14T00:28:03.538783,cut-out
apify_723175bbc912,data\raw\gaming\apify_723175bbc912.jpg,0.0556,5.0,False,gaming,apify,2026-05-14T00:28:05.241355,cut-out
apify_4d6d79fa7d12,data\raw\gaming\apify_4d6d79fa7d12.jpg,0.1222,11.0,False,gaming,apify,2026-05-14T00:28:06.628015,wear-out
apify_22197271b74b,data\raw\gaming\apify_22197271b74b.jpg,0.1,9.0,False,gaming,apify,2026-05-14T00:28:08.930460,wear-out
apify_2379353c7bd2,data\raw\gaming\apify_2379353c7bd2.jpg,0.0889,8.0,False,gaming,apify,2026-05-14T00:28:10.582974,wear-out
apify_d972c23acd98,data\raw\gaming\apify_d972c23acd98.jpg,0.1556,14.0,False,gaming,apify,2026-05-14T00:28:12.571549,wear-out
apify_05ded5bb7513,data\raw\gaming\apify_05ded5bb7513.jpg,0.0111,1.0,False,gaming,apify,2026-05-14T00:28:14.705549,cut-out
apify_eb6ee36457fd,data\raw\gaming\apify_eb6ee36457fd.jpg,0.0778,7.0,False,gaming,apify,2026-05-14T00:28:16.386348,wear-out
apify_97326e41efdd,data\raw\gaming\apify_97326e41efdd.jpg,0.1333,12.0,False,gaming,apify,2026-05-14T00:28:18.166754,wear-out
apify_8dab04a8eca2,data\raw\gaming\apify_8dab04a8eca2.jpg,0.2333,21.0,False,gaming,apify,2026-05-14T00:28:20.099881,wear-out
apify_049e98489dd3,data\raw\gaming\apify_049e98489dd3.jpg,0.0667,6.0,False,gaming,apify,2026-05-14T00:28:22.035873,cut-out
apify_e77c37e44281,data\raw\gaming\apify_e77c37e44281.jpg,0.0111,1.0,False,gaming,apify,2026-05-14T00:28:23.427704,cut-out
apify_68fc62d6179b,data\raw\gaming\apify_68fc62d6179b.jpg,0.1111,10.0,False,gaming,apify,2026-05-14T00:28:25.366893,wear-out
apify_a55b714bad1e,data\raw\gaming\apify_a55b714bad1e.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:28:27.178829,wear-out
apify_3e4e80f666b0,data\raw\gaming\apify_3e4e80f666b0.jpg,0.2444,22.0,False,gaming,apify,2026-05-14T00:28:28.645174,wear-out
apify_6042be4be452,data\raw\gaming\apify_6042be4be452.jpg,0.2333,21.0,False,gaming,apify,2026-05-14T00:28:30.080792,wear-out
